,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,975,0,0,0,0,0,3,1,1,0,0.9948
y:label=1,0,1131,1,0,0,0,1,1,1,0,0.9964
y:label=2,1,1,1020,6,0,0,0,3,1,0,0.9883
y:label=3,0,0,0,1006,0,4,0,0,0,0,0.9960
y:label=4,0,0,1,0,971,0,2,1,1,6,0.9887
y:label=5,1,0,0,8,0,882,1,0,0,0,0.9887
y:label=6,2,1,0,0,1,5,948,0,1,0,0.9895
y:label=7,0,2,9,1,0,0,0,1013,1,2,0.9854
y:label=8,2,0,6,2,0,1,0,0,960,3,0.9856
y:label=9,0,1,2,2,4,5,0,5,1,989,0.9801
Precision,0.9938,0.9955,0.9817,0.9814,0.9948,0.9832,0.9926,0.9892,0.9927,0.989,
F-Measures,0.9942,0.9959,0.9849,0.9886,0.9917,0.9859,0.9910,0.9872,0.9891,0.9845,
,,,,,,,,,,,
Accuracy,0.9895,,,,,,,,,,
Avg.Precision,0.9894,,,,,,,,,,
Avg.Recall,0.9894,,,,,,,,,,
Avg.F-Measures,0.9893,,,,,,,,,,
