x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\6\03395.png,6,3.5187335e-07,6.819451e-10,0.0016472995,8.284669e-06,0.00035737525,0.00030634814,0.9975896,2.799427e-11,9.0736925e-05,4.2700723e-08
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\06971.png,0,0.9915182,4.606257e-13,0.0017111126,2.6935053e-05,2.4842582e-06,0.0065317675,8.76077e-05,1.1158515e-07,0.00012088434,8.1730957e-07
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\6\02759.png,6,4.856094e-07,1.8462659e-10,0.00024176792,1.0511724e-06,7.978274e-05,8.057409e-06,0.99966776,3.9692267e-09,1.0459124e-06,9.971391e-08
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\4\02900.png,4,0.0032799973,1.3903038e-08,0.031343922,0.029032074,0.8936503,0.014677641,0.00054597034,3.7927137e-07,0.00056729885,0.026902428
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\3\06160.png,3,4.6457917e-05,2.1938132e-07,0.04568238,0.6710164,3.706713e-06,0.0043412126,2.963596e-07,3.001248e-07,0.27888432,2.4641657e-05
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\7\00041.png,7,9.0215474e-07,1.1357986e-07,9.922293e-05,0.00028492566,0.00015953612,0.00016206298,2.0497428e-08,0.8835396,2.5081745e-05,0.115728505
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\3\04109.png,3,0.00017246258,0.0014188834,0.0027494496,0.9609743,1.8741678e-06,0.027248163,0.00011465609,1.7205796e-06,0.0073153786,3.127922e-06
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\08136.png,9,5.235165e-06,1.2608164e-11,1.7882778e-06,2.280951e-06,0.0034414825,1.1117052e-06,2.0879646e-08,0.03518108,9.5243115e-05,0.96127176
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\03774.png,0,0.997999,1.0442147e-13,3.1394877e-06,5.129564e-08,9.808372e-09,0.0016174376,2.917203e-07,1.2956662e-08,0.0003774182,2.5872027e-06
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\07607.png,0,0.99990344,6.5341894e-13,1.6158827e-05,1.1074815e-06,9.54517e-08,5.287907e-05,2.3286013e-06,1.935905e-07,1.2403211e-05,1.1374653e-05
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\05951.png,9,1.237991e-10,0.00033419608,6.9208545e-06,0.0022832581,0.005662226,0.0031782147,1.6847084e-08,0.000106882944,0.001373248,0.98705506
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\4\01023.png,4,2.8197106e-05,3.0903273e-08,0.004632109,0.0006566902,0.97800624,9.09438e-05,0.0006360788,0.015392802,6.582185e-05,0.0004910546
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\8\07878.png,8,0.0006704345,2.226072e-10,0.0004392863,1.0770173e-05,1.2020217e-06,0.00022125502,2.2962206e-08,1.407316e-08,0.9984775,0.00017944763
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\8\09722.png,8,7.755709e-05,0.000384149,0.00046043747,0.0008244701,1.8679229e-07,0.0004576017,1.3966941e-07,1.8377958e-07,0.99775225,4.3028267e-05
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\06870.png,9,6.668262e-08,1.0753421e-08,6.756316e-05,0.0070574917,0.029631186,0.0024064197,2.221363e-06,8.975768e-05,0.007059212,0.953686
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\04287.png,9,9.879966e-05,7.1021966e-09,0.010795304,1.674573e-05,0.08520879,4.6657817e-05,6.689972e-05,0.00029835568,0.00020446927,0.90326405
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\2\05521.png,2,1.7819744e-07,0.00013106024,0.9990451,0.0002651406,1.112277e-15,1.4663772e-05,0.0004888151,4.188246e-18,5.5056655e-05,7.250903e-17
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\00372.png,0,0.8777412,2.1583966e-07,0.11177231,0.009457278,1.3789512e-06,0.0003531319,2.4492863e-06,0.00028936315,0.00036280582,1.9892352e-05
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\8\07872.png,8,0.0003405076,3.5221326e-10,0.00010966996,0.0009216916,3.747516e-05,7.180277e-05,2.9699977e-06,4.0113882e-08,0.9768261,0.021689821
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\1\03789.png,1,2.6810907e-09,0.89571345,0.00060658605,0.0101801045,8.592065e-06,0.0002890662,0.0001172682,4.712022e-07,0.09303643,4.8058206e-05
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\1\05252.png,1,1.0768841e-06,0.9940754,0.004898272,0.0001341429,0.00036177677,0.00012550637,6.193162e-05,4.0109153e-05,0.00029394295,7.818835e-06
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\05315.png,9,7.943469e-07,1.5890066e-10,1.1587937e-07,0.0013614536,0.008433167,0.0002881788,8.579253e-09,0.005668909,0.0003832018,0.9838642
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\9\08590.png,9,1.3046517e-06,2.205921e-09,4.876911e-06,0.00015910208,0.0075125233,0.00031496026,9.140642e-08,0.002620421,0.0012175704,0.9881692
D:\01.windows_work\01.github\NeuralNetworkConsole-MNIST-Sample\03-02.nnc_test_data\0\08179.png,0,0.99997723,2.3816606e-15,9.197283e-08,1.24041e-09,1.3829943e-12,2.1963064e-05,7.9698435e-07,4.8988873e-12,2.8418803e-08,2.0754115e-12
